cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link,cloth_color
MNFS 롱 와이드 데님팬츠 050 워시드블루,https://www.musinsa.com/app/goods/960906/0,https://image.msscdn.net/images/goods_img/20190221/960906/960906_2_500.jpg?t=20190226040647,None,데님 팬츠,https://www.musinsa.com/app/styles/views/16000?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,데님
Corduroy Pants -Navy-,https://www.musinsa.com/app/goods/919361/0,https://image.msscdn.net/images/goods_img/20181207/919361/919361_2_500.jpg?t=20220628144651,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/7896?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
HALF PANTS (OLIVE),https://www.musinsa.com/app/goods/2411787/0,https://image.msscdn.net/images/goods_img/20220311/2411787/2411787_1_500.jpg?t=20220316172658,None,숏 팬츠,https://www.musinsa.com/app/styles/views/26679?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
TWO TUCK DENIM SHORTS KS [WHITE],https://www.musinsa.com/app/goods/1937311/0,https://image.msscdn.net/images/goods_img/20210504/1937311/1937311_1_500.jpg?t=20210506172825,None,숏 팬츠,https://www.musinsa.com/app/styles/views/22221?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
Damage 218 슬래시 디스 슬림크롭진 light indigo,https://www.musinsa.com/app/goods/1925099/0,https://image.msscdn.net/images/goods_img/20210428/1925099/1925099_2_500.jpg?t=20210429170145,None,데님 팬츠,https://www.musinsa.com/app/styles/views/21187?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
올마이티 쇼츠 [네이비],https://www.musinsa.com/app/goods/2568728/0,https://image.msscdn.net/images/goods_img/20220518/2568728/2568728_1_500.jpg?t=20220602175105,None,숏 팬츠,https://www.musinsa.com/app/styles/views/27941?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,네이비
블루 프린트 코튼 팬츠 KNP003m(BLACK),https://www.musinsa.com/app/goods/1806482/0,https://image.msscdn.net/images/goods_img/20210222/1806482/1806482_2_500.jpg?t=20220328141929,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/22420?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,블루
립스탁 시그니쳐 트랙팬츠 MUZTP002-BK,https://www.musinsa.com/app/goods/1443610/0,https://image.msscdn.net/images/goods_img/20200513/1443610/1443610_1_500.jpg?t=20200518093022,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/16499?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
원턱와이드데님팬츠(블루),https://www.musinsa.com/app/goods/2181408/0,https://image.msscdn.net/images/goods_img/20211015/2181408/2181408_1_500.jpg?t=20211015163409,None,데님 팬츠,https://www.musinsa.com/app/styles/views/26591?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
Relaxed Denim Pant Light Blue,https://www.musinsa.com/app/goods/2426668/0,https://image.msscdn.net/images/goods_img/20220317/2426668/2426668_1_500.jpg?t=20220320224226,None,데님 팬츠,https://www.musinsa.com/app/styles/views/26428?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
퍼펙트데님 패치워크 빈티지 워싱 테이퍼드 데님팬츠(진청),https://www.musinsa.com/app/goods/2739828/0,https://image.msscdn.net/images/goods_img/20220824/2739828/2739828_1_500.jpg?t=20221006151050,None,데님 팬츠,https://www.musinsa.com/app/styles/views/29646?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
(UNISEX) 와이드 데님팬츠_L/BLUE,https://www.musinsa.com/app/goods/1785180/0,https://image.msscdn.net/images/goods_img/20210208/1785180/1785180_2_500.jpg?t=20210917102302,None,데님 팬츠,https://www.musinsa.com/app/styles/views/21529?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
Fatigue Pant Charcoal,https://www.musinsa.com/app/goods/1878093/0,https://image.msscdn.net/images/goods_img/20210402/1878093/1878093_1_500.jpg?t=20210402182756,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/21054?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
어글리 다잉 컬러 데님_버건디,https://www.musinsa.com/app/goods/2726481/0,https://image.msscdn.net/images/goods_img/20220818/2726481/2726481_2_500.jpg?t=20220822160445,None,데님 팬츠,https://www.musinsa.com/app/styles/views/29216?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
CORDUROY STRING PANTS,https://www.musinsa.com/app/goods/1144236/0,https://image.msscdn.net/images/goods_img/20190905/1144236/1144236_1_500.jpg?t=20190905152606,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/17559?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
Gobie Pants Navy,https://www.musinsa.com/app/goods/1141978/0,https://image.msscdn.net/images/goods_img/20190904/1141978/1141978_1_500.jpg?t=20190904124516,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/13787?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
피그먼트 스웨트 쇼츠 [베이지],https://www.musinsa.com/app/goods/1396859/0,https://image.msscdn.net/images/goods_img/20200410/1396859/1396859_5_500.jpg?t=20210705135120,None,숏 팬츠,https://www.musinsa.com/app/styles/views/17188?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,베이지
CURVED BELT DENIM [White],https://www.musinsa.com/app/goods/2427376/0,https://image.msscdn.net/images/goods_img/20220317/2427376/2427376_1_500.jpg?t=20220317165954,None,데님 팬츠,https://www.musinsa.com/app/styles/views/28985?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
Core 벨티드 와이드 데님 팬츠 내츄럴크림 [스트레이트 Ver],https://www.musinsa.com/app/goods/2142820/0,https://image.msscdn.net/images/goods_img/20210923/2142820/2142820_4_500.jpg?t=20220517133035,None,데님 팬츠,https://www.musinsa.com/app/styles/views/24835?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
등용문 슬랙스,https://www.musinsa.com/app/goods/2011382/0,https://image.msscdn.net/images/goods_img/20210628/2011382/2011382_1_500.jpg?t=20220628162836,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/22425?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
Side cut Wide Slacks - Black,https://www.musinsa.com/app/goods/1611678/0,https://image.msscdn.net/images/goods_img/20200918/1611678/1611678_5_500.jpg?t=20211020152909,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/20118?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
979 스티치 데님_블랙,https://www.musinsa.com/app/goods/2416671/0,https://image.msscdn.net/images/goods_img/20220314/2416671/2416671_2_500.jpg?t=20220315180024,None,데님 팬츠,https://www.musinsa.com/app/styles/views/27776?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,블랙
Colin Cotton Pants,https://www.musinsa.com/app/goods/2132516/0,https://image.msscdn.net/images/goods_img/20210915/2132516/2132516_1_500.jpg?t=20210915122806,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/23835?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
Linen Belted Pants (Beige),https://www.musinsa.com/app/goods/2417190/0,https://image.msscdn.net/images/goods_img/20220314/2417190/2417190_1_500.jpg?t=20220314183518,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/28372?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
논 페이드 원턱 와이드 커브드 데님팬츠 브라우니브라운,https://www.musinsa.com/app/goods/2676490/0,https://image.msscdn.net/images/goods_img/20220721/2676490/2676490_1_500.png?t=20220721151349,None,데님 팬츠,https://www.musinsa.com/app/styles/views/28845?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,데님
DESTROYED JEANS [BLUE],https://www.musinsa.com/app/goods/2524018/0,https://image.msscdn.net/images/goods_img/20220427/2524018/2524018_2_500.jpg?t=20220428214826,None,데님 팬츠,https://www.musinsa.com/app/styles/views/28061?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
코튼 린넨 이지 쇼츠 [더스티 카키],https://www.musinsa.com/app/goods/1388505/0,https://image.msscdn.net/images/goods_img/20200407/1388505/1388505_1_500.jpg?t=20200407154340,None,숏 팬츠,https://www.musinsa.com/app/styles/views/28000?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,카키
미드90 배기 코튼 팬츠 아이보리,https://www.musinsa.com/app/goods/1914898/0,https://image.msscdn.net/images/goods_img/20210422/1914898/1914898_1_500.jpg?t=20210423150031,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/22114?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,아이보리
빈티지 나일론 트레이닝팬츠 그레이,https://www.musinsa.com/app/goods/1121597/0,https://image.msscdn.net/images/goods_img/20190820/1121597/1121597_1_500.jpg?t=20190820141636,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/12241?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,그레이
핀턱 밴딩 반바지_블랙,https://www.musinsa.com/app/goods/1000241/0,https://image.msscdn.net/images/goods_img/20190331/1000241/1000241_1_500.jpg?t=20190331231841,None,숏 팬츠,https://www.musinsa.com/app/styles/views/9289?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,블랙
DPSC x 18K PANTS BLACK,https://www.musinsa.com/app/goods/694012/0,https://image.msscdn.net/images/goods_img/20171229/694012/694012_1_500.jpg?t=20220628142233,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/3793?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=170,None
